人民币,长江传媒,广电网络,中文传媒,时代出版,春兰股份,厦华电子,惠而浦,澳柯玛,均胜电子,曙光股份,易见股份,海正药业,中恒集团,复星医药,江苏吴中,大唐电信,大恒科技,信威集团,康欣新材
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.506981117483658e-34,0.0,7.660524659058865e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.9991939663887024,3.326788215432335e-27,0.0,0.0008060359978117049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.887912801639486e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.787339243943755e-26,0.0
0.0,0.0,0.0,0.0,0.0,1.221371293090002e-37,1.0,2.1133457983942035e-29,0.0,2.0996514749072048e-08,2.858962514140599e-34,0.0,0.0,0.0,1.801473156395659e-21,0.0,8.4303317367344e-37,0.0,9.783020190092485e-28,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.117948238360167e-38,0.0,4.016282306729124e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.923733892708857e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.644409858313555e-27,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.043795425903791e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.885570614023815e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3779734215049115e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
